Title,Author,Genre,Height,Publisher
"Drunkard's Walk, The","Mlodinow, Leonard",science,197,
Let Us C,"Kanetkar, Yashwant",tech,213,
"Courtroom Genius, The",Sorabjee,nonfiction,217,
Power Electronics - Mohan,"Mohan, Ned",tech,237,
Data Smart,"Foreman, John",data_science,235,
Physics & Philosophy,"Heisenberg, Werner",science,197,
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",history,180,
Statistical Decision Theory',"Pratt, John",data_science,236,MIT Press
"Signal and the Noise, The","Silver, Nate",tech,233,
"Devil's Advocate, The","West, Morris",fiction,178,
"Brethren, The","Grisham, John",fiction,174,Random House
Electric Universe,"Bodanis, David",science,201,
Statistical Decision Theory',"Pratt, John",tech,236,MIT Press
Down and Out in Paris & London,"Orwell, George",nonfiction,179,Penguin
Hafasavnuk,Deshpande P L,fiction,211,
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,
"Complete Mastermind, The",BBC,nonfiction,178,
Burning Bright,"Steinbeck, John",fiction,175,Penguin
Mein Kampf,"Hitler, Adolf",nonfiction,212,
Birth of a Theorem,"Villani, Cedric",mathematics,234,Bodley Head
"Analysis, Vol I","Tao, Terence",mathematics,248,
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",history,180,
Data Analysis with Open Source Tools,"Janert, Phillip",tech,230,
We the People,Palkhivala,philosophy,216,
Angels & Demons,"Brown, Dan",fiction,178,Random House
"Killing Joke, The",,fiction,283,
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,
From Beirut to Jerusalem,"Friedman, Thomas",nonfiction,202,
Pattern Classification,"Duda, Hart",data_science,241,
India from Midnight to Milennium,"Tharoor, Shashi",nonfiction,198,
Beyond Degrees,,nonfiction,222,HarperCollins
Think Complexity,"Downey, Allen",data_science,230,
Justice League: Throne of Atlantis,,comic,258,
"Drunkard's Walk, The","Mlodinow, Leonard",science,197,
"Signal and the Noise, The","Silver, Nate",data_science,233,
"History of England, Foundation","Ackroyd, Peter",nonfiction,197,
Journal of a Novel,"Steinbeck, John",fiction,196,
How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,240,
Angels & Demons,"Brown, Dan",fiction,170,
Rationality & Freedom,"Sen, Amartya",economics,213,
Crime and Punishment,"Dostoevsky, Fyodor",fiction,180,
Eyeless in Gaza,"Huxley, Aldous",fiction,180,
Karl Marx Biography,,nonfiction,162,
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",tech,230,
"World's Greatest Trials, The",,history,210,
Gun Gayin Awadi,"Deshpande, P L",nonfiction,212,
"Age of the Warrior, The","Fisk, Robert",history,197,
"Discovery of India, The","Nehru, Jawaharlal",nonfiction,230,
Superman Earth One - 2,,comic,258,
Half A Life,"Naipaul, V S",fiction,196,
"Argumentative Indian, The","Sen, Amartya",nonfiction,209,
"Phantom of Manhattan, The","Forsyth, Frederick",fiction,180,
"Christmas Carol, A","Dickens, Charles",fiction,196,
Birth of a Theorem,"Villani, Cedric",mathematics,234,
"Great Indian Novel, The","Tharoor, Shashi",fiction,198,
Textbook of Economic Theory,"Stonier, Alfred",tech,242,
Electric Universe,"Bodanis, David",science,201,
Flashpoint,,fiction,265,
"Hidden Connections, The","Capra, Fritjof",science,197,HarperCollins
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",history,180,
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",history,180,
"Complete Mastermind, The",BBC,nonfiction,178,BBC
"Social Choice & Welfare, Vol 39 No. 1",Various,tech,235,
Surely You're Joking Mr Feynman,"Feynman, Richard",science,198,Random House
"World's Greatest Trials, The",,history,210,
Data Smart,"Foreman, John",tech,235,
Textbook of Economic Theory,"Stonier, Alfred",tech,242,Pearson
Statistical Decision Theory',"Pratt, John",data_science,236,
Doctor in the Nude,"Gordon, Richard",fiction,179,Penguin
City of Djinns,"Dalrymple, William",history,198,
Pointers in C,"Kanetkar, Yashwant",tech,213,
"Deceiver, The","Forsyth, Frederick",fiction,178,
"Trial, The","Kafka, Frank",fiction,198,
"Outsider, The","Camus, Albert",fiction,198,
"Judge, The",,fiction,170,
More Tears to Cry,"Sassoon, Jean",fiction,235,
"Journal of Economics, vol 106 No 3",,economics,235,
"Devil's Advocate, The","West, Morris",fiction,178,
Beyond Degrees,,nonfiction,222,
Once There Was a War,"Steinbeck, John",nonfiction,196,
Textbook of Economic Theory,"Stonier, Alfred",tech,242,
Maqta-e-Ghalib,"Garg, Sanjay",nonfiction,221,
Manasa,"Kale, V P",nonfiction,213,
Freedom at Midnight,"Lapierre, Dominique",history,167,
"Ropemaker, The","Dickinson, Peter",fiction,196,
"Grapes of Wrath, The","Steinbeck, John",fiction,196,
Making Software,"Oram, Andy",tech,232,O'Reilly
Men of Mathematics,"Bell, E T",science,217,
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,233,
India from Midnight to Milennium,"Tharoor, Shashi",history,198,Penguin
Uncommon Wisdom,"Capra, Fritjof",nonfiction,197,
Once There Was a War,"Steinbeck, John",nonfiction,196,Penguin
Principles of Communication Systems,"Taub, Schilling",computer_science,240,
Journal of a Novel,"Steinbeck, John",fiction,196,
"Death of Superman, The",,fiction,258,
Hafasavnuk,Deshpande P L,fiction,211,
"Prisoner of Birth, A","Archer, Jeffery",fiction,176,
Batman Earth One,,fiction,265,
"Numbers Behind Numb3rs, The","Devlin, Keith",science,202,
Men of Mathematics,"Bell, E T",science,217,
Beyond Degrees,,nonfiction,222,HarperCollins
Selected Short Stories,,fiction,215,Jaico
Burning Bright,"Steinbeck, John",fiction,175,Penguin
From Beirut to Jerusalem,"Friedman, Thomas",nonfiction,202,
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,213,
"Ropemaker, The","Dickinson, Peter",fiction,196,
How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,240,Penguin
"Tao of Physics, The","Capra, Fritjof",science,179,Penguin
Integration of the Indian States,"Menon, V P",history,217,
Dylan on Dylan,"Dylan, Bob",nonfiction,197,Random House
New Markets & Other Essays,"Drucker, Peter",science,176,
"Idiot, The","Dostoevsky, Fyodor",fiction,197,
Veil: Secret Wars of the CIA,"Woodward, Bob",history,171,
Mossad,"Baz-Zohar, Michael",history,236,
Pattern Classification,"Duda, Hart",data_science,241,
Data Analysis with Open Source Tools,"Janert, Phillip",data_science,230,
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,176,
Political Philosophers,,philosophy,162,
Principles of Communication Systems,"Taub, Schilling",computer_science,240,
Murphy's Law,,nonfiction,178,
Mossad,"Baz-Zohar, Michael",nonfiction,236,
Electric Universe,"Bodanis, David",science,201,
Broca's Brain,"Sagan, Carl",science,174,
Birth of a Theorem,"Villani, Cedric",mathematics,234,Bodley Head
"Arthashastra, The",Kautiyla,philosophy,214,
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,240,
"Short History of the World, A","Wells, H G",nonfiction,197,
Vyakti ani Valli,"Deshpande, P L",nonfiction,211,
Ashenden of The British Agent,"Maugham, William S",fiction,160,
"Christmas Carol, A","Dickens, Charles",fiction,196,
"Amulet of Samarkand, The","Stroud, Jonathan",fiction,179,Random House
We the Nation,Palkhivala,philosophy,216,
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,179,
"Ropemaker, The","Dickinson, Peter",fiction,196,
Selected Short Stories,,fiction,215,Jaico
"Hunchback of Notre Dame, The","Hugo, Victor",fiction,175,
Textbook of Economic Theory,"Stonier, Alfred",economics,242,
Dylan on Dylan,"Dylan, Bob",nonfiction,197,Random House
Sea of Poppies,"Ghosh, Amitav",fiction,197,Penguin
Aghal Paghal,"Deshpande, P L",nonfiction,212,
"Moon is Down, The","Steinbeck, John",fiction,196,
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",tech,230,
Python for Data Analysis,"McKinney, Wes",tech,233,
Char Shabda,"Deshpande, P L",nonfiction,214,
Elements of Information Theory,"Thomas, Joy",data_science,229,
God Created the Integers,"Hawking, Stephen",tech,197,
To Sir With Love,Braithwaite,fiction,197,Penguin
"Analysis, Vol I","Tao, Terence",tech,248,
History of the DC Universe,,comic,258,
"Story of Philosophy, The","Durant, Will",philosophy,170,
Down and Out in Paris & London,"Orwell, George",nonfiction,179,
"Veteran, The","Forsyth, Frederick",fiction,177,Transworld
"Artist and the Mathematician, The","Aczel, Amir",science,186,
History of the DC Universe,,fiction,258,
"Killing Joke, The",,fiction,283,
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,
Econometric Analysis,"Greene, W. H.",tech,242,
Gun Gayin Awadi,"Deshpande, P L",nonfiction,212,
Ahe Manohar Tari,"Deshpande, Sunita",nonfiction,213,Mauj
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,176,
"Trial, The","Kafka, Frank",fiction,198,
Data Structures Using C & C++,"Tanenbaum, Andrew",computer_science,235,
Surely You're Joking Mr Feynman,"Feynman, Richard",science,198,Random House
"Courtroom Genius, The",Sorabjee,nonfiction,217,
"Prisoner of Birth, A","Archer, Jeffery",fiction,176,
New Markets & Other Essays,"Drucker, Peter",science,176,
Data Mining Handbook,"Nisbet, Robert",tech,242,Apress
Burning Bright,"Steinbeck, John",fiction,175,Penguin
Slaughterhouse Five,"Vonnegut, Kurt",fiction,198,Random House
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,
"Theory of Everything, The","Hawking, Stephen",science,217,
"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,179,
Philosophy: Who Needs It,"Rand, Ayn",philosophy,171,
All the President's Men,"Woodward, Bob",nonfiction,177,
Angels & Demons,"Brown, Dan",fiction,178,
Justice League: Throne of Atlantis,,fiction,258,
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,171,Vintage
"Complete Mastermind, The",BBC,nonfiction,178,
Unpopular Essays,"Russell, Bertrand",philosophy,198,
Beyond the Three Seas,"Dalrymple, William",history,197,
"Story of Philosophy, The","Durant, Will",philosophy,170,Pocket
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,179,
Crisis on Infinite Earths,,fiction,258,
Pattern Classification,"Duda, Hart",data_science,241,
Superman Earth One - 2,,fiction,258,
"Judge, The",,fiction,170,
"Grapes of Wrath, The","Steinbeck, John",fiction,196,
To Sir With Love,Braithwaite,fiction,197,
Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,241,
Philosophy: Who Needs It,"Rand, Ayn",philosophy,171,
More Tears to Cry,"Sassoon, Jean",fiction,235,
Superfreakonomics,"Dubner, Stephen",science,179,
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,
"Ropemaker, The","Dickinson, Peter",fiction,196,
Superman Earth One - 1,,fiction,259,
Think Complexity,"Downey, Allen",data_science,230,
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,230,
Electric Universe,"Bodanis, David",science,201,Penguin
Orientalism,"Said, Edward",history,197,
Beyond Degrees,,nonfiction,222,
One,"Bach, Richard",nonfiction,172,
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,
"Discovery of India, The","Nehru, Jawaharlal",history,230,
Justice League: Throne of Atlantis,,fiction,258,
Statistical Learning Theory,"Vapnik, Vladimir",data_science,228,
"Last Lecture, The","Pausch, Randy",nonfiction,197,Hyperion
"Raisin in the Sun, A","Hansberry, Lorraine",fiction,175,
"Information, The","Gleick, James",science,233,
Broca's Brain,"Sagan, Carl",science,174,
"Moon and Sixpence, The","Maugham, William S",fiction,180,
Neural Networks,"Haykin, Simon",tech,240,
Political Philosophers,,philosophy,162,
Maqta-e-Ghalib,"Garg, Sanjay",nonfiction,221,Mauj
"Killing Joke, The",,fiction,283,
On Education,"Russell, Bertrand",philosophy,203,
"Tao of Physics, The","Capra, Fritjof",science,179,
Free Will,"Harris, Sam",nonfiction,203,FreePress
Doctor in the Nude,"Gordon, Richard",fiction,179,
Power Electronics - Mohan,"Mohan, Ned",computer_science,237,
"Great Indian Novel, The","Tharoor, Shashi",fiction,198,
Birth of a Theorem,"Villani, Cedric",science,234,Bodley Head
Elements of Information Theory,"Thomas, Joy",tech,229,
"Brethren, The","Grisham, John",fiction,174,
"Numbers Behind Numb3rs, The","Devlin, Keith",science,202,
One,"Bach, Richard",nonfiction,172,
"Farewell to Arms, A","Hemingway, Ernest",fiction,179,Rupa
"Arthashastra, The",Kautiyla,philosophy,214,
"Prince, The",Machiavelli,philosophy,173,
Data Scientists at Work,Sebastian Gutierrez,tech,230,
Mossad,"Baz-Zohar, Michael",history,236,
"Wealth of Nations, The","Smith, Adam",economics,175,Random House
"Winter of Our Discontent, The","Steinbeck, John",fiction,196,
Justice League: The Villain's Journey,,fiction,258,
Selected Short Stories,,fiction,215,Jaico
Jurassic Park,"Crichton, Michael",fiction,174,
Men of Mathematics,"Bell, E T",science,217,
We the People,Palkhivala,philosophy,216,
Oxford book of Modern Science Writing,"Dawkins, Richard",science,240,
Power Electronics - Rashid,"Rashid, Muhammad",tech,235,
"Devil's Advocate, The","West, Morris",fiction,178,
Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,241,CRC
Freedom at Midnight,"Lapierre, Dominique",history,167,
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,223,
"History of England, Foundation","Ackroyd, Peter",nonfiction,197,
"Tao of Physics, The","Capra, Fritjof",science,179,Penguin
False Impressions,"Archer, Jeffery",fiction,177,Pan
Elements of Information Theory,"Thomas, Joy",data_science,229,
"Moon and Sixpence, The","Maugham, William S",fiction,180,
Flashpoint,,fiction,265,
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,213,
Crime and Punishment,"Dostoevsky, Fyodor",fiction,180,Penguin
New Markets & Other Essays,"Drucker, Peter",science,176,Penguin
"Christmas Carol, A","Dickens, Charles",fiction,196,
Introduction to Algorithms,"Cormen, Thomas",tech,234,
Char Shabda,"Deshpande, P L",nonfiction,214,
Design with OpAmps,"Franco, Sergio",computer_science,240,
Neural Networks,"Haykin, Simon",tech,240,
"Wealth of Nations, The","Smith, Adam",science,175,
Data Structures Using C & C++,"Tanenbaum, Andrew",tech,235,
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,176,
Animal Farm,"Orwell, George",fiction,180,
Machine Learning for Hackers,"Conway, Drew",tech,233,O'Reilly
Mein Kampf,"Hitler, Adolf",nonfiction,212,Rupa
"Artist and the Mathematician, The","Aczel, Amir",science,186,HighStakes
Statistical Learning Theory,"Vapnik, Vladimir",tech,228,
Statistical Learning Theory,"Vapnik, Vladimir",data_science,228,
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,172,HarperCollins
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,233,
Electric Universe,"Bodanis, David",science,201,
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,198,
Political Philosophers,,philosophy,162,
Identity & Violence,"Sen, Amartya",philosophy,219,
Design with OpAmps,"Franco, Sergio",computer_science,240,
Ayn Rand Answers,"Rand, Ayn",philosophy,203,
Making Software,"Oram, Andy",computer_science,232,O'Reilly
Selected Short Stories,,fiction,215,
Let Us C,"Kanetkar, Yashwant",computer_science,213,
Manasa,"Kale, V P",nonfiction,213,
More Tears to Cry,"Sassoon, Jean",fiction,235,
Pattern Classification,"Duda, Hart",tech,241,
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,230,
We the People,Palkhivala,philosophy,216,
Dylan on Dylan,"Dylan, Bob",nonfiction,197,
Freedom at Midnight,"Lapierre, Dominique",nonfiction,167,
Apulki,"Deshpande, P L",nonfiction,211,
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,240,Penguin
Uncommon Wisdom,"Capra, Fritjof",nonfiction,197,Fontana
Final Crisis,,fiction,257,
Doctor on the Brain,"Gordon, Richard",fiction,204,
Data Scientists at Work,Sebastian Gutierrez,tech,230,
"Short History of the World, A","Wells, H G",history,197,
"Age of the Warrior, The","Fisk, Robert",history,197,
"Attorney, The",,fiction,170,
Data Scientists at Work,Sebastian Gutierrez,tech,230,Apress
Char Shabda,"Deshpande, P L",nonfiction,214,
"Trial, The","Kafka, Frank",fiction,198,
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,172,
"Social Choice & Welfare, Vol 39 No. 1",Various,tech,235,
Batman Handbook,,comic,270,
In a Free State,"Naipaul, V. S.",fiction,196,
Girl who played with Fire,"Larsson, Steig",fiction,179,
"Prisoner of Birth, A","Archer, Jeffery",fiction,176,Pan
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,
Econometric Analysis,"Greene, W. H.",economics,242,
Down and Out in Paris & London,"Orwell, George",nonfiction,179,
Ahe Manohar Tari,"Deshpande, Sunita",nonfiction,213,Mauj
Making Software,"Oram, Andy",computer_science,232,
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,
"Devil's Advocate, The","West, Morris",fiction,178,
Scoop!,"Nayar, Kuldip",nonfiction,216,
Oxford book of Modern Science Writing,"Dawkins, Richard",science,240,
O Jerusalem!,"Lapierre, Dominique",history,217,vikas
Once There Was a War,"Steinbeck, John",nonfiction,196,
"Phantom of Manhattan, The","Forsyth, Frederick",fiction,180,
Unpopular Essays,"Russell, Bertrand",philosophy,198,
False Impressions,"Archer, Jeffery",fiction,177,
"Moon and Sixpence, The","Maugham, William S",fiction,180,
"Amulet of Samarkand, The","Stroud, Jonathan",fiction,179,Random House
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,172,HarperCollins
Image Processing with MATLAB,"Eddins, Steve",tech,241,
Mein Kampf,"Hitler, Adolf",nonfiction,212,Rupa
Justice League: The Villain's Journey,,fiction,258,
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",nonfiction,180,
All the President's Men,"Woodward, Bob",history,177,
Urlasurla,Deshpande P L,fiction,211,
Statistical Learning Theory,"Vapnik, Vladimir",tech,228,
"Death of Superman, The",,comic,258,
Veil: Secret Wars of the CIA,"Woodward, Bob",history,171,
"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,179,
Return of the Primitive,"Rand, Ayn",philosophy,202,
Men of Mathematics,"Bell, E T",mathematics,217,
Doctor in the Nude,"Gordon, Richard",fiction,179,
"Hunchback of Notre Dame, The","Hugo, Victor",fiction,175,
Freedom at Midnight,"Lapierre, Dominique",history,167,vikas
Gun Gayin Awadi,"Deshpande, P L",nonfiction,212,Mauj
Python for Data Analysis,"McKinney, Wes",tech,233,O'Reilly
Dylan on Dylan,"Dylan, Bob",nonfiction,197,
Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,241,
"Discovery of India, The","Nehru, Jawaharlal",history,230,
Neural Networks,"Haykin, Simon",data_science,240,
Ashenden of The British Agent,"Maugham, William S",fiction,160,Vintage
From Beirut to Jerusalem,"Friedman, Thomas",history,202,
Power Electronics - Mohan,"Mohan, Ned",tech,237,
Final Crisis,,comic,257,
"Attorney, The",,fiction,170,
Jurassic Park,"Crichton, Michael",fiction,174,
"Courtroom Genius, The",Sorabjee,nonfiction,217,
Statistical Learning Theory,"Vapnik, Vladimir",data_science,228,
Flashpoint,,comic,265,
New Markets & Other Essays,"Drucker, Peter",economics,176,
"Pillars of the Earth, The","Follett, Ken",fiction,176,Random House
"Devil's Advocate, The","West, Morris",fiction,178,
"Courtroom Genius, The",Sorabjee,nonfiction,217,
"Brethren, The","Grisham, John",fiction,174,
"World's Greatest Short Stories, The",,fiction,217,Jaico
"Death of Superman, The",,fiction,258,
Ashenden of The British Agent,"Maugham, William S",fiction,160,Vintage
"Pillars of the Earth, The","Follett, Ken",fiction,176,Random House
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,
Slaughterhouse Five,"Vonnegut, Kurt",fiction,198,
Integration of the Indian States,"Menon, V P",history,217,Orient Blackswan
"Farewell to Arms, A","Hemingway, Ernest",fiction,179,Rupa
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",nonfiction,180,
False Impressions,"Archer, Jeffery",fiction,177,Pan
"Computer Vision, A Modern Approach","Forsyth, David",data_science,255,Pearson
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,198,
Asami Asami,"Deshpande, P L",fiction,205,
Karl Marx Biography,,nonfiction,162,
Sea of Poppies,"Ghosh, Amitav",fiction,197,
"Killing Joke, The",,fiction,283,
"Last Lecture, The","Pausch, Randy",nonfiction,197,
"Russian Journal, A","Steinbeck, John",nonfiction,196,
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,
"New Machiavelli, The","Wells, H. G.",fiction,180,
Econometric Analysis,"Greene, W. H.",tech,242,
"New Machiavelli, The","Wells, H. G.",fiction,180,Penguin
India from Midnight to Milennium,"Tharoor, Shashi",history,198,
Dongri to Dubai,"Zaidi, Hussain",nonfiction,216,
Rosy is My Relative,"Durrell, Gerald",fiction,176,
We the Living,"Rand, Ayn",fiction,178,Penguin
Tales of Beedle the Bard,"Rowling, J K",fiction,184,
O Jerusalem!,"Lapierre, Dominique",history,217,vikas
"Idiot, The","Dostoevsky, Fyodor",fiction,197,
"Grapes of Wrath, The","Steinbeck, John",fiction,196,
Justice League: The Villain's Journey,,comic,258,
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,240,
"Attorney, The",,fiction,170,
"Phantom of Manhattan, The","Forsyth, Frederick",fiction,180,
Angels & Demons,"Brown, Dan",fiction,178,
Think Complexity,"Downey, Allen",data_science,230,
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,176,Random House
"City of Joy, The","Lapierre, Dominique",fiction,177,
"Veteran, The","Forsyth, Frederick",fiction,177,
History of Western Philosophy,"Russell, Bertrand",philosophy,213,
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,223,
Pattern Classification,"Duda, Hart",data_science,241,
Urlasurla,Deshpande P L,fiction,211,
Maqta-e-Ghalib,"Garg, Sanjay",fiction,221,
"Analysis, Vol I","Tao, Terence",mathematics,248,
Justice League: The Villain's Journey,,comic,258,
"Age of Discontuinity, The","Drucker, Peter",economics,178,
"Outsider, The","Camus, Albert",fiction,198,
Econometric Analysis,"Greene, W. H.",economics,242,Pearson
Ayn Rand Answers,"Rand, Ayn",philosophy,203,
On Education,"Russell, Bertrand",philosophy,203,
We the Living,"Rand, Ayn",fiction,178,
O Jerusalem!,"Lapierre, Dominique",nonfiction,217,
From Beirut to Jerusalem,"Friedman, Thomas",nonfiction,202,
Freakonomics,"Dubner, Stephen",science,197,Penguin
Pattern Classification,"Duda, Hart",tech,241,
"Pillars of the Earth, The","Follett, Ken",fiction,176,Random House
Integration of the Indian States,"Menon, V P",history,217,
O Jerusalem!,"Lapierre, Dominique",history,217,
Physics & Philosophy,"Heisenberg, Werner",science,197,Penguin
